,,,,
name,price,description,tags,url
Mango Smoothie,₹220,"350 ml

A rich blend of fresh mangoes, creamy milk, and yogurt for the perfect tropical refreshment.

Taste
Sweet • Creamy • Tropical

Ingredients
Fresh Mango • Milk • Yogurt • Honey • Ice

Nutrition (Approx.)

280 kcal
Protein: 8 g
Carbs: 45 g
Fat: 7 g
 Best Time: Breakfast • Post Workout • Mid-Morning",Best Seller,https://images.openai.com/static-rsc-4/kTApg39eUw_LoquApTBCl3gj6lsqjWWcI5Z_YSlfMYQD4njEN5XU_gzjlqlEOMjURzi6DWQz_uz8kK-wsTTQr8xZ6I0WZ9UtQWNS86PEaAiSbKliHJcRJb341PFpU9MJ3zey75t_hnSfqudcpoJxgOBVkQa1xq52iBiXP72Q_yabPg-mHoiJBqwrvFuaEKbL?purpose=inline
Iced Caramel Latte,₹240,"400 ml

Premium espresso blended with chilled milk and rich caramel for a smooth coffee experience.

Taste
Smooth • Creamy • Coffee Rich

Ingredients
Espresso • Milk • Caramel Syrup • Ice

Nutrition (Approx.)

220 kcal
Protein: 7 g
Carbs: 28 g
Fat: 9 g

 Best Time: Morning • Office Break • Afternoon",Premium Coffee,https://images.openai.com/static-rsc-4/JPOhUCQTfTcH-rQIxNyHKkXFAMh-fn3-Ct5BuzO4MQ293tYY0xTurw3PLtRJxebj5QbiBPK_LSpiZCPSE7lpqNLYq5yWvV-El-QOOOJEHU2H-QY6tkc8e0vRkxzy2cN4mnEaOSZ27avY8cDBtZHG1DHmNo0qYUxwLcLaSQrWlN4?purpose=inline
,,,,
Blue Lagoon Mocktail,₹260,"350 ml

A refreshing citrus mocktail with sparkling soda and blue curacao syrup.

Taste
Sweet • Citrus • Fizzy

Ingredients
Blue Curacao Syrup • Lemon • Soda • Mint • Ice

Nutrition (Approx.)

130 kcal
Carbs: 31 g
Fat: 0 g

Best Time: Lunch • Evening • Summer",Signature Drink,https://images.openai.com/static-rsc-4/t-3_NJnrRV1ef7mPObuAlsgQZo2C39fhjkqyv37HK-FO6-P9MBScodz65FFNUcldMm9PseK3sp-r-v4ivwDxy4kY0ms0chs01na93VzUgb4fVx0SoHLJ_Pj01qek_SGAO2MvTJxckqThNHkw0DQTd9DZzD9cKXRkDzhp0ca5tGQ?purpose=inline
Watermelon Mint Cooler,₹180,"350 ml

Fresh watermelon blended with mint and lemon for ultimate hydration.

Taste
Fresh • Light • Cooling

Ingredients
Watermelon • Mint • Lemon • Honey • Ice

Nutrition (Approx.)

95 kcal
Carbs: 24 g
Fat: 0 g

Best Time: Afternoon • Outdoor Refreshment",Summer Special,https://images.openai.com/static-rsc-4/IjVHwbkFPonkSOTkDtiDSVpIB4A6Ii-OnSI2Qr3Xmv0kjBHPTjqf4c-yDE1etwmoGSEqcmMa1Hes9IaYmJApeRsve2uO24OBvUtGazMu9BgdTxJfSD4n3T_BNokfNajLOSDo89NuBjl0dlBoJYikVg_5VFwkh0DNakTOu6xbmWyW1dvBtcJjLBzFy170VcPD?purpose=fullsize
Strawberry Milkshake,₹210,"350 ml

A creamy strawberry shake topped with vanilla goodness.

Taste
Creamy • Fruity • Sweet

Ingredients
Fresh Strawberry • Milk • Ice Cream • Sugar

Nutrition (Approx.)

310 kcal
Protein: 8 g
Carbs: 42 g
Fat: 11 g

Best Time: Evening • Dessert",Customer Favorite,https://images.openai.com/static-rsc-4/0hdXcdkN_b5mX6DZ2kMBKRc6-gn7t_hKoGCM8Wsbmc46gv-XKRPluUZLTa0qio1rWprFYVM9nC1C3FsdyW7v72tXEKnCjJyerE8naqTG_vBHslD3DN1iTmj-vi3HASg9mbkO8riL4uCKfkiTImioSoZT71_CNw6MUdaMlmUxdRP4kPX5bklcUJjf7ghSN7qE?purpose=inline
Sweet Corn Chicken Soup,₹220,"Quantity: 300 ml
Description
A comforting soup made with tender chicken, sweet corn, vegetables, and flavorful broth, finished with herbs.
Taste Light • Savory • Mildly Sweet
Ingredients
Chicken breast
Sweet corn
Carrot
Spring onion
Egg (optional)
Chicken stock
Corn flour
Pepper
Nutritional Value (Approx.)
Calories: 190 kcal
Protein: 16 g
Carbohydrates: 18 g
Fat: 6 g
Best Time to Enjoy  Before Lunch • Before Dinner • Cold Evenings",Customer Favorite,
Cream of Tomato Soup,₹180,"Quantity: 250 ml
Description
A rich and velvety tomato soup prepared with fresh tomatoes, herbs, cream, and aromatic spices. Served hot with crispy garlic bread.
Taste
Creamy • Tangy • Comforting
Ingredients
Fresh tomatoes
Fresh cream
Butter
Onion
Garlic
Black pepper
Basil
Vegetable stock
Nutritional Value (Approx.)
Calories: 150 kcal
Protein: 3 g
Carbohydrates: 18 g
Fat: 7 g
Fiber: 3 g
Vitamin C: High
Best Time to Enjoy  Lunch Starter • Dinner Starter • Rainy Weather",Chef's Recommendation, 
Caesar Salad,₹260,"Quantity: 250g Fresh romaine lettuce tossed with grilled chicken, parmesan cheese, crunchy croutons, and creamy Caesar dressing.
Taste Creamy • Savory • Fresh
Ingredients
Romaine lettuce
Grilled chicken
Parmesan cheese
Croutons
Caesar dressing
Black pepper
Nutritional Value (Approx.)
Calories: 320 kcal
Protein: 22 g
Carbohydrates: 15 g
Fat: 18 g
Best Time to Enjoy  Lunch • Healthy Dinner • Post Workout",Premium Choice,
Greek Salad,₹240,"Quantity: 250 g A refreshing Mediterranean-style salad made with crisp vegetables, olives, feta cheese, and a light olive oil dressing.
Taste Fresh • Tangy • Crisp
Ingredients
Cucumber
Tomato
Onion
Capsicum
Feta cheese
Black olives
Olive oil
Oregano
Nutritional Value (Approx.)
Calories: 220 kcal
Protein: 7 g
Carbohydrates: 12 g
Fat: 16 g
Best Time to Enjoy Lunch • Summer Meals • Light Dinner",Healthy Choice,
